Column1,Column2,Column3,Column4
2184.000278,LW2GenServer,Offshift,0
2184.000278,LWDevGenServer,Offshift,0
2188.000278,LW1GenServer,Busy,0
2188.000278,LW2GenServer,Busy,0
2188.000278,LWDevGenServer,Busy,0
2192.000278,LW1GenServer,Offshift,0
2192.000278,LW2GenServer,Offshift,0
2192.000278,LWDevGenServer,Offshift,0
2196.000278,LW1GenServer,Busy,0
2196.000278,LW2GenServer,Busy,0
2196.000278,LWDevGenServer,Busy,0
2199.899846,TrainLoadStation,Failed,0
2200.000278,LW1GenServer,Offshift,0
2200.000278,LW2GenServer,Offshift,0
2200.000278,LWDevGenServer,Offshift,0
2200.931305,TrainLoadStation,Busy,0
2204.000278,LW1GenServer,Busy,0
2204.000278,LW2GenServer,Busy,0
2204.000278,LWDevGenServer,Busy,0
2208.000278,LW1GenServer,Offshift,0
2208.000278,LW2GenServer,Offshift,0
2208.000278,LWDevGenServer,Offshift,0
2212.000278,LW1GenServer,Busy,0
2212.000278,LW2GenServer,Busy,0
2212.000278,LWDevGenServer,Busy,0
2216.000278,LW1GenServer,Offshift,0
2216.000278,LW2GenServer,Offshift,0
2216.000278,LWDevGenServer,Offshift,0
2220.000278,LW1GenServer,Busy,0
2220.000278,LW2GenServer,Busy,0
2220.000278,LWDevGenServer,Busy,0
2224.000278,LW1GenServer,Offshift,0
2224.000278,LW2GenServer,Offshift,0
2224.000278,LWDevGenServer,Offshift,0
2228.000278,LW1GenServer,Busy,0
2228.000278,LW2GenServer,Busy,0
2228.000278,LWDevGenServer,Busy,0
2232.000278,LW1GenServer,Offshift,0
2232.000278,LW2GenServer,Offshift,0
2232.000278,LWDevGenServer,Offshift,0
2236.000278,LW1GenServer,Busy,0
2236.000278,LW2GenServer,Busy,0
2236.000278,LWDevGenServer,Busy,0
2240.000278,LW1GenServer,Offshift,0
2240.000278,LW2GenServer,Offshift,0
2240.000278,LWDevGenServer,Offshift,0
2244.000278,LW1GenServer,Busy,0
2244.000278,LW2GenServer,Busy,0
2244.000278,LWDevGenServer,Busy,0
2248.000278,LW1GenServer,Offshift,0
2248.000278,LW2GenServer,Offshift,0
2248.000278,LWDevGenServer,Offshift,0
2252.000278,LW1GenServer,Busy,0
2252.000278,LW2GenServer,Busy,0
2252.000278,LWDevGenServer,Busy,0
2256.000278,LW1GenServer,Offshift,0
2256.000278,LW2GenServer,Offshift,0
2256.000278,LWDevGenServer,Offshift,0
2260.000278,LW1GenServer,Busy,0
2260.000278,LW2GenServer,Busy,0
2260.000278,LWDevGenServer,Busy,0
2264.000278,LW1GenServer,Offshift,0
2264.000278,LW2GenServer,Offshift,0
2264.000278,LWDevGenServer,Offshift,0
2268.000278,LW1GenServer,Busy,0
2268.000278,LW2GenServer,Busy,0
2268.000278,LWDevGenServer,Busy,0
2272.000278,LW1GenServer,Offshift,0
2272.000278,LW2GenServer,Offshift,0
2272.000278,LWDevGenServer,Offshift,0
2276.000278,LW1GenServer,Busy,0
2276.000278,LW2GenServer,Busy,0
2276.000278,LWDevGenServer,Busy,0
2280.000278,LW1GenServer,Offshift,0
2280.000278,LW2GenServer,Offshift,0
2280.000278,LWDevGenServer,Offshift,0
2284.000278,LW1GenServer,Busy,0
2284.000278,LW2GenServer,Busy,0
2284.000278,LWDevGenServer,Busy,0
2288.000278,LW1GenServer,Offshift,0
2288.000278,LW2GenServer,Offshift,0
2288.000278,LWDevGenServer,Offshift,0
2292.000278,LW1GenServer,Busy,0
2292.000278,LW2GenServer,Busy,0
2292.000278,LWDevGenServer,Busy,0
2296.000278,LW1GenServer,Offshift,0
2296.000278,LW2GenServer,Offshift,0
2296.000278,LWDevGenServer,Offshift,0
2300.000278,LW1GenServer,Busy,0
2300.000278,LW2GenServer,Busy,0
2300.000278,LWDevGenServer,Busy,0
2304.000278,LW1GenServer,Offshift,0
2304.000278,LW2GenServer,Offshift,0
2304.000278,LWDevGenServer,Offshift,0
2308.000278,LW1GenServer,Busy,0
2308.000278,LW2GenServer,Busy,0
2308.000278,LWDevGenServer,Busy,0
2312.000278,LW1GenServer,Offshift,0
2312.000278,LW2GenServer,Offshift,0
2312.000278,LWDevGenServer,Offshift,0
2315.218095,CPPWorkSchedule,FailedBusy,1
2316.000278,LW1GenServer,Busy,0
2316.000278,LW2GenServer,Busy,0
2316.000278,LWDevGenServer,Busy,0
2320.000278,LW1GenServer,Offshift,0
2320.000278,LW2GenServer,Offshift,0
2320.000278,LWDevGenServer,Offshift,0
2324.000278,LW1GenServer,Busy,0
2324.000278,LW2GenServer,Busy,0
2324.000278,LWDevGenServer,Busy,0
2328.000278,LW1GenServer,Offshift,0
2328.000278,LW2GenServer,Offshift,0
2328.000278,LWDevGenServer,Offshift,0
2331.113863,CPPWorkSchedule,Busy,0
2332.000278,LW1GenServer,Busy,0
2332.000278,LW2GenServer,Busy,0
2332.000278,LWDevGenServer,Busy,0
2336.000278,LW1GenServer,Offshift,0
2336.000278,LW2GenServer,Offshift,0
2336.000278,LWDevGenServer,Offshift,0
2340.000278,LW1GenServer,Busy,0
2340.000278,LW2GenServer,Busy,0
2340.000278,LWDevGenServer,Busy,0
2344.000278,LW1GenServer,Offshift,0
2344.000278,LW2GenServer,Offshift,0
2344.000278,LWDevGenServer,Offshift,0
2348.000278,LW1GenServer,Busy,0
2348.000278,LW2GenServer,Busy,0
2348.000278,LWDevGenServer,Busy,0
2352.000278,LW1GenServer,Offshift,0
2352.000278,LW2GenServer,Offshift,0
2352.000278,LWDevGenServer,Offshift,0
2356.000278,LW1GenServer,Busy,0
2356.000278,LW2GenServer,Busy,0
2356.000278,LWDevGenServer,Busy,0
2360.000278,LW1GenServer,Offshift,0
2360.000278,LW2GenServer,Offshift,0
2360.000278,LWDevGenServer,Offshift,0
2364.000278,LW1GenServer,Busy,0
2364.000278,LW2GenServer,Busy,0
2364.000278,LWDevGenServer,Busy,0
2368.000278,LW1GenServer,Offshift,0
2368.000278,LW2GenServer,Offshift,0
2368.000278,LWDevGenServer,Offshift,0
2372.000278,LW1GenServer,Busy,0
2372.000278,LW2GenServer,Busy,0
2372.000278,LWDevGenServer,Busy,0
2376.000278,LW1GenServer,Offshift,0
2376.000278,LW2GenServer,Offshift,0
2376.000278,LWDevGenServer,Offshift,0
2380.000278,LW1GenServer,Busy,0
2380.000278,LW2GenServer,Busy,0
2380.000278,LWDevGenServer,Busy,0
2384.000278,LW1GenServer,Offshift,0
2384.000278,LW2GenServer,Offshift,0
2384.000278,LWDevGenServer,Offshift,0
2388.000278,LW1GenServer,Busy,0
2388.000278,LW2GenServer,Busy,0
2388.000278,LWDevGenServer,Busy,0
2392.000278,LW1GenServer,Offshift,0
2392.000278,LW2GenServer,Offshift,0
2392.000278,LWDevGenServer,Offshift,0
2393.035409,CPPWorkSchedule,FailedBusy,1
2396.000278,LW1GenServer,Busy,0
2396.000278,LW2GenServer,Busy,0
2396.000278,LWDevGenServer,Busy,0
2400.000278,LW1GenServer,Offshift,0
2400.000278,LW2GenServer,Offshift,0
2400.000278,LWDevGenServer,Offshift,0
2402.677035,CPPWorkSchedule,Busy,0
2404.000278,LW1GenServer,Busy,0
2404.000278,LW2GenServer,Busy,0
2404.000278,LWDevGenServer,Busy,0
2408.000278,LW1GenServer,Offshift,0
2408.000278,LW2GenServer,Offshift,0
2408.000278,LWDevGenServer,Offshift,0
2412.000278,LW1GenServer,Busy,0
2412.000278,LW2GenServer,Busy,0
2412.000278,LWDevGenServer,Busy,0
2416.000278,LW1GenServer,Offshift,0
2416.000278,LW2GenServer,Offshift,0
2416.000278,LWDevGenServer,Offshift,0
